imdb_id	original_title	runtime	genres	TotalWordCount	UniqueWordCount	WordsPerMinute
tt0037075	Ministry of Fear	86	Crime, Drama	19674	1132	228.7674418604651
tt0096030	Salsa	98	Drama, Music, Romance	17250	842	176.0204081632653
tt0831916	The Lost	94	Thriller	8490	1366	90.31914893617021
tt1787731	Jess + Moss	83	Drama, Romance	12453	806	150.03614457831324
tt0110622	The Naked Gun 33⅓: The Final Insult	83	Comedy, Crime	22698	1649	273.4698795180723
tt1663662	Pacific Rim	131	Action, Science Fiction, Adventure	9413	1724	71.85496183206106
tt1032746	Ace of Hearts	100	Drama, Family	16336	1365	163.36
tt0076639	Roseland	104	Drama, Romance	33582	1287	322.90384615384613
tt2960930	Extraterrestrial	101	Horror, Science Fiction	12294	966	121.72277227722772
tt1753383	A Dog's Purpose	100	Comedy, Drama, Family, Fantasy	29280	1175	292.8
tt0054047	The Magnificent Seven	128	Western	168	45	1.3125
tt0118647	The Assignment	119	Thriller, Action, Crime	15740	1640	132.2689075630252
tt1578709	Snowblind	92	Western	5329	998	57.92391304347826
tt1331025	The September Issue	90	Documentary	10497	1476	116.63333333333334
tt3733778	Pay the Ghost	94	Horror, Thriller	8278	1481	88.06382978723404
tt0374853	Malice in Wonderland	87	Fantasy, Drama, Action, Thriller, Crime, Science Fiction, Romance	22844	1566	262.57471264367814
tt2667918	About Alex	96	Drama	10188	1420	106.125
tt0092752	The Chipmunk Adventure	77	Adventure, Animation, Family	18852	1051	244.83116883116884
tt0103786	Beethoven	87	Comedy, Family	5798	1082	66.643678160919535
tt1535608	Monsterwolf	86	TV Movie, Fantasy, Horror	20934	1269	243.41860465116278
tt0385057	The Long Weekend	85	Comedy, Romance	18477	1168	217.3764705882353
tt0118528	12 Angry Men	117	Crime, Drama	46668	1606	398.87179487179486
tt0328993	Face of Terror	100	Action, Drama, Thriller	13148	1088	131.48
tt0025464	Manhattan Melodrama	93	Crime, Drama, Romance	23278	1631	250.30107526881721
tt0099321	Criminal Justice	90	TV Movie, Drama	6527	1317	72.52222222222223
tt0088847	The Breakfast Club	97	Comedy, Drama	17596	1347	181.4020618556701
tt0022074	The Smiling Lieutenant	93	Comedy, Music, Romance	8250	864	88.70967741935483
tt0116778	Kingpin	113	Comedy	26562	1526	235.06194690265488
tt0327698	The Even Stevens Movie	120	TV Movie, Comedy, Family	10084	1622	84.03333333333333
tt0036038	War of the Wildcats	102	Western	21622	1683	211.98039215686273
